_framework_ref,id,framework,domain,sub_domain,control,detail
12.8,CIS 8.1-12.8,CIS 8.1,Network Infrastructure Management,Establish and Maintain Dedicated Computing Resources for All Administrative Work,,"Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access."
13.1,CIS 8.1-13.1,CIS 8.1,Network Monitoring and Defense,Centralize Security Event Alerting,,"Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard."
13.1,CIS 8.1-13.10,CIS 8.1,Network Monitoring and Defense,Perform Application Layer Filtering,,"Perform application layer filtering. Example implementations include a filtering proxy, application layer firewall, or gateway."
13.11,CIS 8.1-13.11,CIS 8.1,Network Monitoring and Defense,Tune Security Event Alerting Thresholds,,"Tune security event alerting thresholds monthly, or more frequently."
13.2,CIS 8.1-13.2,CIS 8.1,Network Monitoring and Defense,Deploy a Host-Based Intrusion Detection Solution,,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported."
13.3,CIS 8.1-13.3,CIS 8.1,Network Monitoring and Defense,Deploy a Network Intrusion Detection Solution,,"Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service."
13.4,CIS 8.1-13.4,CIS 8.1,Network Monitoring and Defense,Perform Traffic Filtering Between Network Segments,,"Perform traffic filtering between network segments, where appropriate."
13.5,CIS 8.1-13.5,CIS 8.1,Network Monitoring and Defense,Manage Access Control for Remote Assets,,"Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to enterprise resources based on: up-to-date anti-malware software installed, configuration compliance with the enterprise's secure configuration process, and ensuring the operating system and applications are up to date."
13.6,CIS 8.1-13.6,CIS 8.1,Network Monitoring and Defense,Collect Network Traffic Flow Logs,,Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.
13.7,CIS 8.1-13.7,CIS 8.1,Network Monitoring and Defense,Deploy a Host-Based Intrusion Prevention Solution,,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent."
13.8,CIS 8.1-13.8,CIS 8.1,Network Monitoring and Defense,Deploy a Network Intrusion Prevention Solution,,"Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent CSP service."
13.9,CIS 8.1-13.9,CIS 8.1,Network Monitoring and Defense,Deploy Port-Level Access Control,,"Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control protocols, such as certificates, and may incorporate user and/or device authentication."
14.1,CIS 8.1-14.1,CIS 8.1,Security Awareness and Skills Training,Establish and Maintain a Security Awareness Program,,"Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise's workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard."
14.2,CIS 8.1-14.2,CIS 8.1,Security Awareness and Skills Training,Train Workforce Members to Recognize Social Engineering Attacks,,"Train workforce members to recognize social engineering attacks, such as phishing, business email compromise (BEC), pretexting, and tailgating."
14.3,CIS 8.1-14.3,CIS 8.1,Security Awareness and Skills Training,Train Workforce Members on Authentication Best Practices,,"Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management."
14.4,CIS 8.1-14.4,CIS 8.1,Security Awareness and Skills Training,Train Workforce on Data Handling Best Practices,,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This also includes training workforce members on clear screen and desk best practices, such as locking their screen when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, and storing data and assets securely."
14.5,CIS 8.1-14.5,CIS 8.1,Security Awareness and Skills Training,Train Workforce Members on Causes of Unintentional Data Exposure,,"Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery of sensitive data, losing a portable end-user device, or publishing data to unintended audiences."
14.6,CIS 8.1-14.6,CIS 8.1,Security Awareness and Skills Training,Train Workforce Members on Recognizing and Reporting Security Incidents,,Train workforce members to be able to recognize a potential incident and be able to report such an incident.
14.7,CIS 8.1-14.7,CIS 8.1,Security Awareness and Skills Training,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,,Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools. Part of this training should include notifying IT personnel of any failures in automated processes and tools.
14.8,CIS 8.1-14.8,CIS 8.1,Security Awareness and Skills Training,Train Workforce on the Dangers of Connecting to and Transmitting Enterprise Data Over Insecure Networks,,"Train workforce members on the dangers of connecting to and transmitting data over insecure networks for enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users securely configure their home network infrastructure."
14.9,CIS 8.1-14.9,CIS 8.1,Security Awareness and Skills Training,Conduct Role-Specific Security Awareness and Skills Training,,"Conduct role-specific security awareness and skills training. Example implementations include secure system administration courses for IT professionals, OWASP® Top 10 vulnerability awareness and prevention training for web application developers, and advanced social engineering awareness training for high-profile roles."
15.1,CIS 8.1-15.1,CIS 8.1,Service Provider Management,Establish and Maintain an Inventory of Service Providers,,"Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard."
15.2,CIS 8.1-15.2,CIS 8.1,Service Provider Management,Establish and Maintain a Service Provider Management Policy,,"Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard."
15.3,CIS 8.1-15.3,CIS 8.1,Service Provider Management,Classify Service Providers,,"Classify service providers. Classification consideration may include one or more characteristics, such as data sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard."
15.4,CIS 8.1-15.4,CIS 8.1,Service Provider Management,Ensure Service Provider Contracts Include Security Requirements,,"Ensure service provider contracts include security requirements. Example requirements may include minimum security program requirements, security incident and/or data breach notification and response, data encryption requirements, and data disposal commitments. These security requirements must be consistent with the enterprise's service provider management policy. Review service provider contracts annually to ensure contracts are not missing security requirements."
15.5,CIS 8.1-15.5,CIS 8.1,Service Provider Management,Assess Service Providers,,"Assess service providers consistent with the enterprise's service provider management policy. Assessment scope may vary based on classification(s) and may include review of standardized assessment reports, such as Service Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or with new and renewed contracts."
15.6,CIS 8.1-15.6,CIS 8.1,Service Provider Management,Monitor Service Providers,,"Monitor service providers consistent with the enterprise's service provider management policy. Monitoring may include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark web monitoring."
15.7,CIS 8.1-15.7,CIS 8.1,Service Provider Management,Securely Decommission Service Providers,,"Securely decommission service providers. Example considerations include user and service account deactivation, termination of data flows, and secure disposal of enterprise data within service provider systems."
16.1,CIS 8.1-16.1,CIS 8.1,Application Software Security,Establish and Maintain a Secure Application Development Process,,"Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
16.1,CIS 8.1-16.10,CIS 8.1,Application Software Security,Apply Secure Design Principles in Application Architectures,,"Apply secure design principles in application architectures. Secure design principles include the concept of least privilege and enforcing mediation to validate every operation that the user makes, promoting the concept of ""never trust user input."" Examples include ensuring that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats. Secure design also means minimizing the application infrastructure attack surface, such as turning off unprotected ports and services, removing unnecessary programs and files, and renaming or removing default accounts."
16.11,CIS 8.1-16.11,CIS 8.1,Application Software Security,Leverage Vetted Modules or Services for Application Security Components,,"Leverage vetted modules or services for application security components, such as identity management, encryption, and auditing and logging. Using platform features in critical security functions will reduce developers' workload and minimize the likelihood of design or implementation errors. Modern operating systems provide effective mechanisms for identification, authentication, and authorization and make those mechanisms available to applications. Use only standardized, currently accepted, and extensively reviewed encryption algorithms. Operating systems also provide mechanisms to create and maintain secure audit logs."
16.12,CIS 8.1-16.12,CIS 8.1,Application Software Security,Implement Code-Level Security Checks,,Apply static and dynamic analysis tools within the application life cycle to verify that secure coding practices are being followed.
16.13,CIS 8.1-16.13,CIS 8.1,Application Software Security,Conduct Application Penetration Testing,,"Conduct application penetration testing. For critical applications, authenticated penetration testing is better suited to finding business logic vulnerabilities than code scanning and automated security testing. Penetration testing relies on the skill of the tester to manually manipulate an application as an authenticated and unauthenticated user."
16.14,CIS 8.1-16.14,CIS 8.1,Application Software Security,Conduct Threat Modeling,,"Conduct threat modeling. Threat modeling is the process of identifying and addressing application security design flaws within a design, before code is created. It is conducted through specially trained individuals who evaluate the application design and gauge security risks for each entry point and access level. The goal is to map out the application, architecture, and infrastructure in a structured way to understand its weaknesses."
16.2,CIS 8.1-16.2,CIS 8.1,Application Software Security,Establish and Maintain a Process to Accept and Address Software Vulnerabilities,,"Establish and maintain a process to accept and address reports of software vulnerabilities, including providing a means for external entities to report. The process is to include such items as: a vulnerability handling policy that identifies reporting process, responsible party for handling vulnerability reports, and a process for intake, assignment, remediation, and remediation testing. As part of the process, use a vulnerability tracking system that includes severity ratings and metrics for measuring timing for identification, analysis, and remediation of vulnerabilities. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. Third-party application developers need to consider this an externally-facing policy that helps to set expectations for outside stakeholders."
16.3,CIS 8.1-16.3,CIS 8.1,Application Software Security,Perform Root Cause Analysis on Security Vulnerabilities,,"Perform root cause analysis on security vulnerabilities. When reviewing vulnerabilities, root cause analysis is the task of evaluating underlying issues that create vulnerabilities in code, and allows development teams to move beyond just fixing individual vulnerabilities as they arise."
16.4,CIS 8.1-16.4,CIS 8.1,Application Software Security,Establish and Manage an Inventory of Third-Party Software Components,,"Establish and manage an updated inventory of third-party components used in development, often referred to as a “bill of materials,” as well as components slated for future use. This inventory is to include any risks that each third-party component could pose. Evaluate the list at least monthly to identify any changes or updates to these components, and validate that the component is still supported."
16.5,CIS 8.1-16.5,CIS 8.1,Application Software Security,Use Up-to-Date and Trusted Third-Party Software Components,,"Use up-to-date and trusted third-party software components. When possible, choose established and proven frameworks and libraries that provide adequate security. Acquire these components from trusted sources or evaluate the software for vulnerabilities before use."
16.6,CIS 8.1-16.6,CIS 8.1,Application Software Security,Establish and Maintain a Severity Rating System and Process for Application Vulnerabilities,,Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing the order in which discovered vulnerabilities are fixed. This process includes setting a minimum level of security acceptability for releasing code or applications. Severity ratings bring a systematic way of triaging vulnerabilities that improves risk management and helps ensure the most severe bugs are fixed first. Review and update the system and process annually.
16.7,CIS 8.1-16.7,CIS 8.1,Application Software Security,Use Standard Hardening Configuration Templates for Application Infrastructure,,"Use standard, industry-recommended hardening configuration templates for application infrastructure components. This includes underlying servers, databases, and web servers, and applies to cloud containers, Platform as a Service (PaaS) components, and SaaS components. Do not allow in-house developed software to weaken configuration hardening."
16.8,CIS 8.1-16.8,CIS 8.1,Application Software Security,Separate Production and Non-Production Systems,,Maintain separate environments for production and non-production systems.
16.9,CIS 8.1-16.9,CIS 8.1,Application Software Security,Train Developers in Application Security Concepts and Secure Coding,,"Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities. Training can include general security principles and application security standard practices. Conduct training at least annually and design in a way to promote security within the development team, and build a culture of security among the developers."
17.1,CIS 8.1-17.1,CIS 8.1,Incident Response Management,Designate Personnel to Manage Incident Handling,,"Designate one key person, and at least one backup, who will manage the enterprise's incident handling process. Management personnel are responsible for the coordination and documentation of incident response and recovery efforts and can consist of employees internal to the enterprise, service providers, or a hybrid approach. If using a service provider, designate at least one person internal to the enterprise to oversee any third-party work. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17.2,CIS 8.1-17.2,CIS 8.1,Incident Response Management,Establish and Maintain Contact Information for Reporting Security Incidents,,"Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, service vendors, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up to date."
17.3,CIS 8.1-17.3,CIS 8.1,Incident Response Management,Establish and Maintain an Enterprise Process for Reporting Incidents,,"Establish and maintain a documented enterprise process for the workforce to report security incidents. The process includes reporting timeframe, personnel to report to, mechanism for reporting, and the minimum information to be reported. Ensure the process is publicly available to all of the workforce. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17.4,CIS 8.1-17.4,CIS 8.1,Incident Response Management,Establish and Maintain an Incident Response Process,,"Establish and maintain a documented incident response process that addresses roles and responsibilities, compliance requirements, and a communication plan. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17.5,CIS 8.1-17.5,CIS 8.1,Incident Response Management,Assign Key Roles and Responsibilities,,"Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, facilities, public relations, human resources, incident responders, and analysts. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17.6,CIS 8.1-17.6,CIS 8.1,Incident Response Management,Define Mechanisms for Communicating During Incident Response,,"Determine which primary and secondary mechanisms will be used to communicate and report during a security incident. Mechanisms can include phone calls, emails, secure chat, or notification letters. Keep in mind that certain mechanisms, such as emails, can be affected during a security incident. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
17.7,CIS 8.1-17.7,CIS 8.1,Incident Response Management,Conduct Routine Incident Response Exercises,,"Plan and conduct routine incident response exercises and scenarios for key personnel involved in the incident response process to prepare for responding to real-world incidents. Exercises need to test communication channels, decision-making, and workflows. Conduct testing on an annual basis, at a minimum."
17.8,CIS 8.1-17.8,CIS 8.1,Incident Response Management,Conduct Post-Incident Reviews,,Conduct post-incident reviews. Post-incident reviews help prevent incident recurrence through identifying lessons learned and follow-up action.
17.9,CIS 8.1-17.9,CIS 8.1,Incident Response Management,Establish and Maintain Security Incident Thresholds,,"Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard."
18.1,CIS 8.1-18.1,CIS 8.1,Penetration Testing,Establish and Maintain a Penetration Testing Program,,"Establish and maintain a penetration testing program appropriate to the size, complexity, industry, and maturity of the enterprise. Penetration testing program characteristics include scope, such as network, web application, Application Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be routed internally; and retrospective requirements."
18.2,CIS 8.1-18.2,CIS 8.1,Penetration Testing,Perform Periodic External Penetration Tests,,"Perform periodic external penetration tests based on program requirements, no less than annually. External penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The testing may be clear box or opaque box."
18.3,CIS 8.1-18.3,CIS 8.1,Penetration Testing,Remediate Penetration Test Findings,,Remediate penetration test findings based on the enterprise's documented vulnerability remediation process. This should include determining a timeline and level of effort based on the impact and prioritization of each identified finding.
18.4,CIS 8.1-18.4,CIS 8.1,Penetration Testing,Validate Security Measures,,"Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to detect the techniques used during testing."
18.5,CIS 8.1-18.5,CIS 8.1,Penetration Testing,Perform Periodic Internal Penetration Tests,,"Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may be clear box or opaque box."
2.1,CIS 8.1-2.1,CIS 8.1,Inventory and Control of Software Assets,Establish and Maintain a Software Inventory,,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently."
2.2,CIS 8.1-2.2,CIS 8.1,Inventory and Control of Software Assets,Ensure Authorized Software is Currently Supported,,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise's mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently."
2.3,CIS 8.1-2.3,CIS 8.1,Inventory and Control of Software Assets,Address Unauthorized Software,,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently."
2.4,CIS 8.1-2.4,CIS 8.1,Inventory and Control of Software Assets,Utilize Automated Software Inventory Tools,,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software."
2.5,CIS 8.1-2.5,CIS 8.1,Inventory and Control of Software Assets,Allowlist Authorized Software,,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently."
2.6,CIS 8.1-2.6,CIS 8.1,Inventory and Control of Software Assets,Allowlist Authorized Libraries,,"Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, and .so files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently."
2.7,CIS 8.1-2.7,CIS 8.1,Inventory and Control of Software Assets,Allowlist Authorized Scripts,,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently."
3.1,CIS 8.1-3.1,CIS 8.1,Data Protection,Establish and Maintain a Data Management Process,,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3.1,CIS 8.1-3.10,CIS 8.1,Data Protection,Encrypt Sensitive Data in Transit,,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).
3.11,CIS 8.1-3.11,CIS 8.1,Data Protection,Encrypt Sensitive Data at Rest,,"Encrypt sensitive data at rest on servers, applications, and databases. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data."
3.12,CIS 8.1-3.12,CIS 8.1,Data Protection,Segment Data Processing and Storage Based on Sensitivity,,Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
3.13,CIS 8.1-3.13,CIS 8.1,Data Protection,Deploy a Data Loss Prevention Solution,,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's data inventory."
3.14,CIS 8.1-3.14,CIS 8.1,Data Protection,Log Sensitive Data Access,,"Log sensitive data access, including modification and disposal."
3.2,CIS 8.1-3.2,CIS 8.1,Data Protection,Establish and Maintain a Data Inventory,,"Establish and maintain a data inventory based on the enterprise's data management process. Inventory sensitive data annually, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data."
3.3,CIS 8.1-3.3,CIS 8.1,Data Protection,Configure Data Access Control Lists,,"Configure data access control lists based on a user's need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications."
3.4,CIS 8.1-3.4,CIS 8.1,Data Protection,Enforce Data Retention,,Retain data according to the enterprise's documented data management process. Data retention must include both minimum and maximum timelines.
3.5,CIS 8.1-3.5,CIS 8.1,Data Protection,Securely Dispose of Data,,Securely dispose of data as outlined in the enterprise's documented data management process. Ensure the disposal process and method are commensurate with the data sensitivity.
3.6,CIS 8.1-3.6,CIS 8.1,Data Protection,Encrypt Data on End-User Devices,,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt."
3.7,CIS 8.1-3.7,CIS 8.1,Data Protection,Establish and Maintain a Data Classification Scheme,,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard."
3.8,CIS 8.1-3.8,CIS 8.1,Data Protection,Document Data Flows,,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise's data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3.9,CIS 8.1-3.9,CIS 8.1,Data Protection,Encrypt Data on Removable Media,,Encrypt data on removable media.
4.1,CIS 8.1-4.1,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process,,"Establish and maintain a documented secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4.10,CIS 8.1-4.10,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Enforce Automatic Device Lockout on Portable End-User Devices,,"Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts."
4.11,CIS 8.1-4.11,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Enforce Remote Wipe Capability on Portable End-User Devices,,"Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise."
4.12,CIS 8.1-4.12,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Separate Enterprise Workspaces on Mobile End-User Devices,,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data."
4.2,CIS 8.1-4.2,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process for Network Infrastructure,,"Establish and maintain a documented secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4.3,CIS 8.1-4.3,CIS 8.1,Secure Configuration of Enterprise Assets and Software,Configure Automatic Session Locking on Enterprise Assets,,"Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed two (2) minutes."
